Player,Injury,Start Date,Return Date,Days Missed,Standardized Injury
 Josh Okogie,placed on IL with sprained right ankle,2023-12-29,2023-12-31,2,placed on IL with right high ankle sprain
 Josh Okogie,placed on IL with strained abdominal / right hip injury,2024-03-05,2024-03-23,18,placed on IL with strained abdominal / right hip injury
 Josh Okogie,hamstring injury (DTD),2024-10-22,2024-11-01,10,left hamstring injury (DTD)
 Josh Richardson,placed on IL with heel injury,2024-12-20,2025-01-09,20,placed on IL with hip injury (P)
 Josh Richardson,placed on IL with foot injury,2023-10-24,2023-10-30,6,placed on IL with glute injury
 Josh Richardson,placed on IL with various injuries,2023-12-13,2023-12-15,2,placed on IL with various injuries
 Josh Richardson,placed on IL with back spasms,2023-12-25,2024-01-03,9,placed on IL with back spasms
 Josh Richardson,strained left calf (DTD),2024-10-30,2024-11-01,2,sore left calf (DTD)
 Josh Richardson,illness (DTD),2024-11-30,2024-12-04,4,illness (DTD)
 Josh Richardson,left heel injury (DTD),2024-10-22,2024-10-27,5,left calf injury (DTD)
 Joshua Primo,placed on IL with sprained left ankle,2024-04-03,2024-04-13,10,placed on IL with strained left calf (P)
 Jrue Holiday,placed on IL with sprained right elbow,2024-01-21,2024-01-22,1,placed on IL with stiffness in right elbow
 Jrue Holiday,placed on IL with sprained right elbow,2024-02-07,2024-02-08,1,placed on IL with stiffness in right elbow
 Jrue Holiday,placed on IL with left knee injury,2024-04-12,2024-04-21,9,"placed on IL with left ankle, knee injuries"
 Jrue Holiday,placed on IL with sprained right elbow,2023-12-31,2024-01-01,1,placed on IL with stiffness in right elbow
 Jrue Holiday,placed on IL with sprained right ankle,2023-11-24,2023-11-28,4,placed on IL with right high ankle sprain
 Jrue Holiday,placed on IL with left anle/knee injury,2024-03-11,2024-03-12,1,placed on IL with left anle/knee injury
 Jrue Holiday,left knee injury (DTD),2024-11-16,2024-11-19,3,left knee injury (DTD)
 Jrue Holiday,placed on IL with left knee injury,2024-12-02,2024-12-05,3,"placed on IL with left ankle, knee injuries"
 Jrue Holiday,placed on IL with right shoulder impingement,2024-12-25,2024-12-31,6,placed on IL with right shoulder impingement
 Jrue Holiday,right shoulder impingement (DTD),2025-01-22,2025-01-23,1,right shoulder impingement (DTD)
 Jrue Holiday,placed on IL with bruised right shoulder,2024-03-18,2024-03-28,10,placed on IL with bursitis in right shoulder
 Julian Champagnie,placed on IL with sprained right ankle,2024-03-02,2024-03-05,3,placed on IL with right high ankle sprain
 Julian Phillips,placed on IL with illness,2024-11-23,2024-11-26,3,placed on IL with illness
 Julian Phillips,placed on IL with fibula injury,2024-01-14,2024-01-18,4,placed on IL with back injury
 Julian Strawther,placed on IL with sprained left ankle,2024-02-14,2024-02-22,8,placed on IL with strained left calf (P)
 Julian Strawther,placed on IL with bruised right knee,2024-01-05,2024-02-02,28,placed on IL with bruised tibia in right leg
 Julius Randle,sprained left ankle (DTD),2023-04-30,2023-05-02,2,sprained left ankle (DTD)
 Justin Minaya,placed on IL with illness,2024-03-11,2024-03-13,2,placed on IL with illness
 Justin Minaya,placed on IL with illness,2023-11-22,2023-11-26,4,placed on IL with illness
 Justin Minaya,placed on IL with bruised back,2024-04-01,2024-04-05,4,placed on IL with bruised back
 Jusuf Nurkic,placed on IL with sprained right ankle,2024-04-09,2024-04-10,1,placed on IL with right high ankle sprain
 Jusuf Nurkic,placed on IL with sore left ankle,2024-11-12,2024-11-13,1,placed on IL with surgery on left ankle
 Jusuf Nurkic,placed on IL with sprained left ankle,2024-11-18,2024-11-20,2,placed on IL with strained left calf (P)
 Jusuf Nurkic,placed on IL with bruised right quadriceps,2024-11-30,2024-12-12,12,placed on IL with bruised left quadriceps
 Jusuf Nurkic,placed on IL with illness,2025-01-12,2025-01-24,12,placed on IL with illness
 Jusuf Nurkic,placed on IL with sprained left thumb,2024-01-28,2024-01-29,1,placed on IL with strained left thigh
 Jusuf Nurkic,placed on IL with sprained right ankle,2024-02-23,2024-02-25,2,placed on IL with right high ankle sprain
 Jusuf Nurkic,sprained right ankle (DTD),2024-03-27,2024-03-29,2,sprained right hand (DTD)
 Kai Jones,strained right hamstring (DTD),2024-03-17,2024-03-25,8,strained right hamstring (DTD)
 Karl-Anthony Towns,placed on IL with torn meniscus in left knee,2024-03-07,2024-04-12,36,placed on IL with torn meniscus in left knee
 Karl-Anthony Towns,placed on IL with thumb injury,2025-01-15,2025-01-20,5,placed on IL with tailbone injury
 Karl-Anthony Towns,patellar injury in right knee (DTD),2025-01-06,2025-01-08,2,patellar injury in right knee (DTD)
 Karl-Anthony Towns,knee injury (DTD),2024-11-15,2024-11-17,2,left knee injury (DTD)
 Karl-Anthony Towns,placed on IL with sore left knee,2023-12-22,2023-12-26,4,placed on IL with sore left/right knee
 Karl-Anthony Towns,right knee injury (DTD),2024-12-07,2024-12-09,2,right knee injury (DTD)
 Karlo Matkovic,placed on IL with sore lower back,2024-12-07,2025-01-07,31,placed on IL with sore lower back
 Kawhi Leonard,placed on IL with strained left adductor,2024-02-13,2024-02-18,5,placed on IL with strained left adductor
 Kawhi Leonard,placed on IL with right knee injury,2025-01-20,2025-01-23,3,placed on IL with meniscus injury in right knee
 Kawhi Leonard,placed on IL with right knee injury,2025-01-16,2025-01-18,2,placed on IL with meniscus injury in right knee
 Kawhi Leonard,placed on IL with knee injury (date approximate),2024-10-22,2025-01-04,74,placed on IL with knee injury (date approximate)
 Kawhi Leonard,placed on IL with sore right knee,2024-04-02,2024-04-23,21,placed on IL with sore right ankle/heel
 Kawhi Leonard,placed on IL with left groin injury,2024-03-10,2024-03-12,2,placed on IL with left forearm injury
 Kawhi Leonard,placed on IL with bruised left hip,2023-12-21,2024-01-01,11,placed on IL with bruised head
 Keegan Murray,placed on IL with lower back spasms / sore lower back,2023-11-22,2023-12-02,10,placed on IL with lower back spasms / sore lower back
 Keegan Murray,placed on IL with sprained left ankle,2024-03-12,2024-03-13,1,placed on IL with strained left calf (P)
 Keegan Murray,placed on IL with sore left ankle,2024-12-16,2024-12-19,3,placed on IL with surgery on left ankle
 Keegan Murray,placed on IL with sore left ankle,2025-01-01,2025-01-05,4,placed on IL with surgery on left ankle
 Kel'el Ware,placed on IL with right foot injury,2024-12-01,2024-12-20,19,placed on IL with right foot injury (DTD)
 Kel'el Ware,stomach illness (DTD),2024-10-25,2024-10-27,2,stomach illness (DTD)
 Keldon Johnson,placed on IL with tightness in right hamstring,2024-11-23,2024-11-26,3,placed on IL with tightness in right hamstring
 Keldon Johnson,placed on IL with stomach illness,2024-03-12,2024-03-15,3,placed on IL with illness / stomach flu
 Keldon Johnson,placed on IL with sprained left foot,2024-03-30,2024-04-07,8,placed on IL with sprained left foot
 Keldon Johnson,placed on IL with sore right knee,2024-03-27,2024-03-29,2,placed on IL with sore right ankle/heel
 Keldon Johnson,placed on IL with strained left calf,2024-12-13,2024-12-19,6,placed on IL with strained left calf (P)
 Keldon Johnson,placed on IL with sore right knee,2023-11-14,2023-11-17,3,placed on IL with sore right ankle/heel
 Keldon Johnson,placed on IL with back spasms,2023-12-31,2024-01-02,2,placed on IL with back spasms
 Keldon Johnson,placed on IL with left elbow injury,2024-01-31,2024-02-03,3,placed on IL with elbow injury
 Kelly Olynyk,placed on IL with calf injury,2025-01-27,2025-01-31,4,placed on IL with glute injury
 Kelly Olynyk,lumbar strain (out indefinitely),2024-11-01,2024-12-07,36,lumbar strain (out indefinitely)
 Kelly Olynyk,placed on IL with strained right shoulder,2023-12-02,2023-12-08,6,placed on IL with right shoulder tendinitis
 Kelly Oubre Jr.,right big toe injury (DTD),2024-01-12,2024-01-14,2,right big toe injury (DTD)
 Kelly Oubre Jr.,placed on IL with fractured rib,2023-11-11,2023-12-04,23,placed on IL with sinus fracture
 Kelly Oubre Jr.,placed on IL with sprained left hand,2025-01-02,2025-01-06,4,placed on IL with sprained left index finger
 Kelly Oubre Jr.,sore left shoulder (DTD),2024-03-25,2024-03-27,2,sore right shoulder (DTD)
 Kelly Oubre Jr.,sore right shoulder (DTD),2024-03-01,2024-03-03,2,sore right shoulder (DTD)
 Kenneth Lofton Jr.,placed on IL with sprained left shoulder,2024-01-12,2024-01-20,8,placed on IL with sprained/strained left shoulder
 Kenrich Williams,placed on IL with surgery on right knee,2024-09-17,2024-11-11,55,placed on IL with arthroscopic surgery on right knee
 Kenrich Williams,placed on IL with lower back spasms,2023-10-24,2023-11-13,20,placed on IL with back spasms
 Kentavious Caldwell-Pope,sore right knee (DTD),2025-01-12,2025-01-15,3,sore right knee (DTD)
 Kentavious Caldwell-Pope,placed on IL with tightness in right hamstring,2024-02-13,2024-02-22,9,placed on IL with tightness in right hamstring
 Kentavious Caldwell-Pope,placed on IL with concussion protocols,2023-12-13,2023-12-18,5,placed on IL with concussion protocol
 Kentavious Caldwell-Pope,placed on IL with tightness in right hamstring,2024-02-08,2024-02-12,4,placed on IL with tightness in right hamstring
 Kenyon Martin Jr. / K.J. Martin,placed on IL with illness,2023-12-29,2023-12-30,1,placed on IL with illness
 Kenyon Martin Jr. / K.J. Martin,placed on IL with right ankle injury,2024-02-25,2024-03-03,7,placed on IL with ankle injury / rest
 Keon Ellis,placed on IL with sprained left ankle,2023-11-20,2023-11-28,8,placed on IL with strained left calf (P)
 Keshad Johnson,left shoulder inflammation (DTD),2025-01-21,2025-01-23,2,left shoulder inflammation (DTD)
 Kevin Durant,placed on IL with sore right foot,2023-11-24,2023-11-29,5,placed on IL with sore foot
 Kevin Durant,placed on IL with right hamstring injury,2024-01-01,2024-01-07,6,placed on IL with right hamstring injury / knee injury
 Kevin Durant,placed on IL with strained left calf,2024-11-09,2024-11-25,16,placed on IL with strained left calf (P)
 Kevin Durant,placed on IL with sprained ankle,2023-12-07,2023-12-13,6,placed on IL with sore/sprained ankles
 Kevin Huerter,placed on IL with sprained left shoulder,2024-12-16,2024-12-19,3,placed on IL with sprained/strained left shoulder
 Kevin Huerter,placed on IL with sprained right ankle,2024-12-01,2024-12-03,2,placed on IL with right high ankle sprain
 Kevin Huerter,placed on IL with illness,2024-11-02,2024-11-06,4,placed on IL with illness
 Kevin Huerter,placed on IL with left finger injury,2023-11-19,2023-11-20,1,placed on IL with left forearm injury
 Kevin Huerter,placed on IL with sprained left ankle,2024-01-12,2024-01-14,2,placed on IL with strained left calf (P)
 Kevin Huerter,placed on IL with bruised leg,2024-03-13,2024-03-16,3,placed on IL with bruised head
 Kevin Love,placed on IL with back spasms,2024-11-27,2024-11-29,2,placed on IL with back spasms
 Kevin Love,back spasms (DTD),2024-12-02,2024-12-04,2,lower back spasms (DTD)
 Kevin Love,placed on IL with bruised left knee,2024-01-15,2024-01-19,4,placed on IL with bone bruise in left knee
 Kevin Love,placed on IL with stomach illness,2023-12-20,2023-12-21,1,placed on IL with illness / stomach flu
 Kevin Love,placed on IL with bruised left shoulder,2023-11-01,2023-11-02,1,placed on IL with bruised left shin
 Kevin Love,placed on IL with bruised left shoulder,2023-10-28,2023-10-30,2,placed on IL with bruised left shin
 Kevin Love,right eye injury (DTD),2015-02-12,2015-02-20,8,right eye injury (DTD)
 Kevin Love,placed on IL with bruised right heel,2024-02-28,2024-03-29,30,placed on IL with bruised right knee
 Kevin Love,placed on IL with stomach illness,2024-01-25,2024-01-26,1,placed on IL with illness / stomach flu
 Kevin Porter Jr.,placed on IL with illness,2024-12-27,2024-12-30,3,placed on IL with illness
 Kevin Porter Jr.,placed on IL with sprained left ankle,2024-11-30,2024-12-07,7,placed on IL with strained left calf (P)
 Kevin Seraphin,flu (DTD),2015-02-20,2015-02-22,2,flu (DTD)
 Kevon Harris,sore knee (DTD),2023-10-24,2023-10-31,7,sore left knee (DTD)
 Kevon Looney,placed on IL with illness,2024-11-18,2024-11-20,2,placed on IL with illness
 Keyonte George,placed on IL with sore left foot,2023-12-14,2023-12-26,12,placed on IL with sore foot
 Keyonte George,placed on IL with heel injury,2025-01-11,2025-01-15,4,placed on IL with hip injury (P)
 Keyonte George,placed on IL with illness,2024-03-06,2024-03-09,3,placed on IL with illness
 Keyonte George,placed on IL with sore left foot,2024-11-09,2024-11-12,3,placed on IL with sore foot
 Keyonte George,placed on IL with sprained left ankle,2024-12-21,2024-12-30,9,placed on IL with strained left calf (P)
 Khris Middleton,placed on IL with sprained left ankle,2024-02-07,2024-03-16,38,placed on IL with strained left calf (P)
 Khris Middleton,placed on IL with ankle injury,2025-02-03,2025-02-04,1,placed on IL with glute injury
 Khris Middleton,placed on IL with right knee injury,2023-11-18,2023-11-19,1,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with ankle injury,2025-01-23,2025-01-25,2,placed on IL with glute injury
 Khris Middleton,placed on IL with left Achilles injury,2023-11-25,2023-11-28,3,placed on IL with Achilles injury
 Khris Middleton,placed on IL with right knee injury,2023-12-16,2023-12-17,1,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with left ankle injury,2024-03-21,2024-03-24,3,"placed on IL with left ankle, knee injuries"
 Khris Middleton,placed on IL with left ankle injury,2024-04-03,2024-04-04,1,"placed on IL with left ankle, knee injuries"
 Khris Middleton,placed on IL recovering from surgery on both ankles,2024-10-21,2024-12-05,45,placed on IL recovering from surgery on both ankles
 Khris Middleton,placed on IL with right knee injury,2024-01-27,2024-01-28,1,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with ankle injury,2025-01-13,2025-01-15,2,placed on IL with glute injury
 Khris Middleton,placed on IL with ankle injury,2025-01-06,2025-01-08,2,placed on IL with glute injury
 Khris Middleton,placed on IL with right knee injury,2024-01-14,2024-01-16,2,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with left ankle injury,2024-04-10,2024-04-11,1,"placed on IL with left ankle, knee injuries"
 Khris Middleton,placed on IL with right knee injury,2024-02-04,2024-02-06,2,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with right knee injury,2023-10-28,2023-10-30,2,placed on IL with meniscus injury in right knee
 Khris Middleton,placed on IL with right knee injury,2023-11-08,2023-11-09,1,placed on IL with meniscus injury in right knee
 Killian Hayes,sprained left shoulder (DTD),2023-11-19,2023-11-20,1,sprained left shoulder (DTD)
 Killian Hayes,illness (DTD),2023-12-18,2023-12-28,10,illness (DTD)
 Klay Thompson,placed on IL with sore knee,2023-10-30,2023-11-01,2,placed on IL with kidney stone
 Klay Thompson,illness (DTD),2024-01-30,2024-02-01,2,illness (DTD)
 Klay Thompson,placed on IL with illness,2024-02-08,2024-02-09,1,placed on IL with illness
 Klay Thompson,placed on IL with sprained left ankle,2025-01-23,2025-01-25,2,placed on IL with strained left calf (P)
 Klay Thompson,right knee tendinitis (DTD),2024-03-29,2024-03-31,2,left knee tendinitis (DTD)
 Klay Thompson,placed on IL with right knee tendinitis,2024-04-11,2024-04-12,1,placed on IL with right ankle tendinitis
 Klay Thompson,placed on IL with plantar fasciitis in left foot,2024-11-25,2024-12-03,8,placed on IL with plantar fasciitis in left foot (DTD)
 Klay Thompson,placed on IL with illness,2024-12-30,2024-12-31,1,placed on IL with illness
 Kobe Brown,placed on IL with sore back,2024-11-27,2024-12-29,32,placed on IL with sore knee
 Kobe Bufkin,placed on IL with right shoulder subluxation,2024-10-21,2024-11-18,28,placed on IL with left shoulder subluxation
 Kobe Bufkin,placed on IL with fractured left thumb,2023-11-03,2023-12-23,50,placed on IL with fractured left thumb
 Kobe Bufkin,placed on IL with toe injury,2024-03-13,2024-04-01,19,placed on IL with kidney stone
 Kris Dunn,placed on IL with sore left knee,2025-01-22,2025-02-03,12,placed on IL with sore left/right knee
 Kris Humphries,sore lower back (DTD),2015-02-11,2015-02-20,9,sore lower back (DTD)
 Kris Murray,bruised sternum (DTD),2024-11-25,2024-11-29,4,bruised sternum (DTD)
 Kris Murray,bruised chest (DTD),2025-01-21,2025-01-23,2,bruised chest (DTD)
 Kristaps Porzingis,placed on IL with strained right calf,2024-04-30,2024-06-05,36,placed on IL with strained right rotator cuff
 Kristaps Porzingis,placed on IL with bruised right knee,2023-11-15,2023-11-17,2,placed on IL with bruised tibia in right leg
 Kristaps Porzingis,placed on IL with strained left calf,2023-11-25,2023-12-08,13,placed on IL with strained left calf (P)
 Kristaps Porzingis,left calf injury (DTD),2023-12-15,2023-12-16,1,left calf injury (DTD)
 Kristaps Porzingis,placed on IL with sprained left ankle,2023-12-22,2023-12-25,3,placed on IL with strained left calf (P)
 Kristaps Porzingis,placed on IL with left calf injury,2023-12-29,2023-12-30,1,placed on IL with left forearm injury
 Kristaps Porzingis,placed on IL with right knee inflammation,2024-01-22,2024-01-24,2,placed on IL with right knee inflammation
 Kristaps Porzingis,placed on IL with bruised lower back,2024-02-13,2024-02-14,1,placed on IL with bruised/sore lower back
 Kristaps Porzingis,placed on IL with left leg injury,2024-06-12,2024-06-14,2,placed on IL with left oblique injury
 Kristaps Porzingis,placed on IL with quadriceps injury,2024-03-03,2024-03-05,2,placed on IL with quadriceps injury
 Kristaps Porzingis,placed on IL with tightness in right hamstring,2024-03-09,2024-03-18,9,placed on IL with tightness in right hamstring
 Kristaps Porzingis,placed on IL with right hamstring injury,2024-03-23,2024-03-24,1,placed on IL with right hamstring injury / knee injury
 Kristaps Porzingis,placed on IL with right hamstring injury,2024-04-09,2024-04-11,2,placed on IL with right hamstring injury / knee injury
 Kristaps Porzingis,placed on IL with right hamstring injury,2024-04-12,2024-04-21,9,placed on IL with right hamstring injury / knee injury
 Kristaps Porzingis,placed on IL with sprained left ankle,2024-01-27,2024-01-30,3,placed on IL with strained left calf (P)
 Kristaps Porzingis,placed on IL recovering from surgery on foot (date approximate),2024-10-21,2024-11-25,35,placed on IL recovering from surgery on right knee (date approximate)
 Kristaps Porzingis,placed on IL with lower leg injury,2024-12-06,2024-12-07,1,placed on IL with lower leg injury
 Kristaps Porzingis,left leg injury (DTD),2024-12-02,2024-12-03,1,left leg injury (DTD)
 Kristaps Porzingis,placed on IL with bruised right knee,2024-01-10,2024-01-11,1,placed on IL with bruised tibia in right leg
 Kristaps Porzingis,illness (DTD),2025-01-22,2025-01-23,1,illness (DTD)
 Kristaps Porzingis,placed on IL with right knee inflammation,2024-01-17,2024-01-18,1,placed on IL with right knee inflammation
 Kristaps Porzingis,placed on IL with ankle injury,2024-12-27,2025-01-03,7,placed on IL with glute injury
 Kristaps Porzingis,left leg injury (DTD),2025-01-18,2025-01-19,1,left leg injury (DTD)
 Kyle Anderson,sore right shoulder (DTD),2024-03-10,2024-03-12,2,sore right shoulder (DTD)
 Kyle Anderson,neck spasms (DTD),2024-11-12,2024-11-15,3,neck spasms (DTD)
 Kyle Anderson,placed on IL with hamstring injury,2025-01-15,2025-01-24,9,placed on IL with abdominal injury
 Kyle Anderson,placed on IL with sprained left knee,2024-02-28,2024-03-03,4,placed on IL with sprained left index finger
 Kyle Filipowski,placed on IL with sprained right ankle,2024-11-23,2024-12-08,15,placed on IL with right high ankle sprain
 Kyle Kuzma,placed on IL with sore left shoulder,2024-03-17,2024-03-20,3,placed on IL with left shoulder subluxation
 Kyle Kuzma,placed on IL with illness,2024-02-14,2024-02-21,7,placed on IL with illness
 Kyle Kuzma,placed on IL with rib injury,2024-11-29,2024-12-29,30,placed on IL with tailbone injury
 Kyle Kuzma,placed on IL with groin injury,2024-10-29,2024-11-11,13,placed on IL with cervical injury
 Kyle Kuzma,placed on IL with bruised right heel,2024-03-31,2024-04-03,3,placed on IL with bruised right knee
 Kyle Kuzma,placed on IL with sore left shoulder,2024-03-24,2024-03-26,2,placed on IL with left shoulder subluxation
 Kyle Kuzma,placed on IL with sore left shoulder,2024-02-03,2024-02-06,3,placed on IL with left shoulder subluxation
 Kyle Lowry,placed on IL with left knee injury,2024-04-09,2024-04-12,3,"placed on IL with left ankle, knee injuries"
 Kyle Lowry,placed on IL with sprained left hand,2024-01-10,2024-01-14,4,placed on IL with sprained left index finger
 Kyle Lowry,placed on IL with general soreness,2023-12-28,2024-01-01,4,placed on IL with general soreness
 Kyle Lowry,sore right hip (DTD),2024-12-30,2025-01-01,2,sore right hip (DTD)
 Kyle Lowry,placed on IL with general soreness,2023-12-17,2023-12-19,2,placed on IL with general soreness
 Kyle Lowry,lower back spasms (DTD),2024-12-13,2024-12-15,2,lower back spasms (DTD)
 Kyle Lowry,hip injury (DTD),2025-02-04,2025-02-05,1,hip injury (DTD)
 Kyle Lowry,placed on IL with sore right hip,2025-01-06,2025-01-25,19,placed on IL with sore right toe
 Kyle Lowry,placed on IL with right hip injury,2024-11-19,2024-12-03,14,placed on IL with right hip flexor injury
 Kyrie Irving,placed on IL with sore right shoulder,2024-12-01,2024-12-02,1,placed on IL with right shoulder tendinitis
 Kyrie Irving,placed on IL with illness,2025-01-03,2025-01-04,1,placed on IL with illness
 Kyrie Irving,placed on IL with left hamstring injury,2024-04-11,2024-04-21,10,placed on IL with left hamstring injury
 Kyrie Irving,placed on IL with lumbar sprain,2025-01-05,2025-01-14,9,placed on IL with lumbar sprain
 Kyrie Irving,placed on IL with strained right shoulder,2024-11-14,2024-11-15,1,placed on IL with right shoulder tendinitis
 Kyrie Irving,placed on IL with sore right shoulder,2024-12-30,2024-12-31,1,placed on IL with right shoulder tendinitis
 Kyrie Irving,placed on IL with bruised right heel,2023-12-09,2024-01-01,23,placed on IL with bruised right knee
 Kyrie Irving,placed on IL with sore right foot,2023-12-02,2023-12-06,4,placed on IL with sore foot
 Kyrie Irving,placed on IL with sprained left foot,2023-11-15,2023-11-17,2,placed on IL with sprained left foot
 Kyrie Irving,placed on IL with sprained left foot,2023-10-30,2023-11-03,4,placed on IL with sprained left foot
 Kyrie Irving,placed on IL with sore right shoulder,2024-12-19,2024-12-20,1,placed on IL with right shoulder tendinitis
 Kyrie Irving,placed on IL with back injury,2025-01-15,2025-01-17,2,placed on IL with elbow injury
 Kyrie Irving,placed on IL with sprained right thumb,2024-01-24,2024-02-05,12,placed on IL with sprained right big toe
 Kyrie Irving,placed on IL with shoulder injury,2025-02-02,2025-02-03,1,placed on IL with right shoulder injury
 LaMelo Ball,placed on IL with sprained right ankle,2023-11-28,2024-01-12,45,placed on IL with right high ankle sprain
 LaMelo Ball,placed on IL with sore right ankle,2024-01-20,2024-01-22,2,placed on IL with right high ankle sprain
 LaMelo Ball,placed on IL with various injuries,2024-12-28,2025-01-05,8,placed on IL with various injuries
 LaMelo Ball,placed on IL with wrist injury,2025-01-24,2025-01-25,1,placed on IL with left wrist injury
 LaMelo Ball,placed on IL with strained left calf,2024-11-28,2024-12-16,18,placed on IL with strained left calf (P)
 Lamar Stevens,left groin injury (DTD),2024-04-06,2024-04-10,4,right groin injury (DTD)
 Lamar Stevens,left adductor injury (DTD),2024-03-12,2024-03-25,13,left adductor injury (DTD)
 Lamar Stevens,placed on IL with illness,2023-12-25,2023-12-28,3,placed on IL with illness
 Lance Thomas,placed on IL with ankle injury,2015-02-11,2015-02-20,9,placed on IL with glute injury
 Landry Shamet,placed on IL with calf injury,2024-03-08,2024-03-10,2,placed on IL with glute injury
 Landry Shamet,placed on IL with illness,2024-01-30,2024-02-02,3,placed on IL with illness
 Landry Shamet,placed on IL with left hamstring injury,2024-01-05,2024-01-08,3,placed on IL with left hamstring injury
 Landry Shamet,placed on IL with bruised right rib,2023-12-06,2023-12-22,16,placed on IL with bruised right shin
 Landry Shamet,placed on IL with toe injury,2023-10-24,2023-10-31,7,placed on IL with kidney stone
 Larry Nance Jr.,placed on IL with fractured right rib,2023-11-13,2023-11-22,9,placed on IL with fractured right ankle
 Larry Nance Jr.,placed on IL with fractured right rib,2023-11-30,2023-12-28,28,placed on IL with fractured right ankle
 Larry Nance Jr.,placed on IL with sore left ankle,2024-02-02,2024-02-05,3,placed on IL with surgery on left ankle
 Larry Nance Jr.,placed on IL with illness,2024-03-16,2024-03-18,2,placed on IL with illness
 Larry Nance Jr.,placed on IL with right hand injury,2025-01-27,2025-01-28,1,placed on IL with right adductor injury
 Larry Nance Jr.,surgery on right hand to repair fractured fourth metacarpal bone (out indefinitely),2025-01-02,2025-01-24,22,surgery on right hand to repair fractured fourth metacarpal bone (out indefinitely)
 Lauri Markkanen,placed on IL with bruised right quadriceps,2024-03-23,2024-03-25,2,placed on IL with bruised left quadriceps
 Lauri Markkanen,placed on IL with lower back spasms,2024-10-31,2024-11-07,7,placed on IL with back spasms
 Lauri Markkanen,back injury (DTD),2025-01-05,2025-01-07,2,back injury (DTD)
 Lauri Markkanen,placed on IL with lower back spasms,2025-01-12,2025-01-22,10,placed on IL with back spasms
 Lauri Markkanen,placed on IL with left hamstring injury,2023-12-21,2023-12-22,1,placed on IL with left hamstring injury
 Lauri Markkanen,placed on IL with strained left hamstring,2023-12-14,2023-12-16,2,placed on IL with strained left adductor
 Lauri Markkanen,placed on IL with sore left hamstring,2023-11-25,2023-12-13,18,placed on IL with sore hamstring
 Lauri Markkanen,placed on IL with bruised right quadriceps,2024-03-03,2024-03-18,15,placed on IL with bruised left quadriceps
 Lauri Markkanen,placed on IL with bruised right quadriceps,2024-03-19,2024-03-21,2,placed on IL with bruised left quadriceps
 Lavoy Allen,placed on IL,2015-02-11,2015-02-20,9,placed on IL
 LeBron James,placed on IL with left ankle injury,2023-12-21,2023-12-23,2,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with left ankle injury,2024-03-08,2024-03-10,2,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with left ankle injury,2024-02-14,2024-02-23,9,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with sore left foot,2024-12-08,2024-12-15,7,placed on IL with sore foot
 LeBron James,placed on IL with left ankle injury,2024-02-01,2024-02-03,2,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with left ankle injury,2024-01-22,2024-01-25,3,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with left ankle injury,2024-01-13,2024-01-15,2,"placed on IL with left ankle, knee injuries"
 LeBron James,placed on IL with illness,2024-04-07,2024-04-09,2,placed on IL with illness
 LeBron James,bruised left calf (DTD),2023-12-13,2023-12-15,2,bruised left calf (DTD)
 LeBron James,left ankle injury (DTD),2024-03-26,2024-03-27,1,left calf injury (DTD)
 LeBron James,placed on IL with bruised left calf,2023-11-12,2023-11-14,2,placed on IL with bruised left foot
 LeBron James,placed on IL with illness,2024-12-28,2024-12-31,3,placed on IL with illness
 Leaky Black,placed on IL with strained abdominal,2024-04-05,2024-04-07,2,placed on IL with strained abdominal
 Leonard Miller,placed on IL with illness,2025-01-16,2025-01-18,2,placed on IL with illness
 Liam Robbins,placed on IL with sore left heel,2024-11-22,2024-11-23,1,placed on IL with sore left/right knee
 Lindy Waters III,placed on IL with illness,2024-01-13,2024-01-15,2,placed on IL with illness
 Lonnie Walker IV,placed on IL with tightness in left hamstring,2024-02-06,2024-02-10,4,placed on IL with tightness in right hamstring
 Lonnie Walker IV,placed on IL with illness,2024-03-09,2024-03-10,1,placed on IL with illness
 Lonnie Walker IV,placed on IL with strained left hamstring,2023-12-11,2024-01-05,25,placed on IL with strained left adductor
 Lonzo Ball,various injuries (DTD),2025-01-19,2025-01-20,1,various injuries (DTD)
 Lonzo Ball,placed on IL with illness,2024-12-23,2024-12-28,5,placed on IL with illness
 Lonzo Ball,placed on IL with left knee injury,2024-12-05,2024-12-06,1,"placed on IL with left ankle, knee injuries"
 Lonzo Ball,placed on IL with sprained right wrist,2024-10-29,2024-11-27,29,placed on IL with sprained right wrist
 Lonzo Ball,placed on IL with left knee injury,2024-10-24,2024-10-26,2,"placed on IL with left ankle, knee injuries"
 Louis Williams / Lou Williams,placed on IL with ankle injury,2015-02-21,2015-02-23,2,placed on IL with glute injury
 Luguentz Dort,placed on IL with sprained right ankle,2024-12-27,2024-12-29,2,placed on IL with right high ankle sprain
 Luguentz Dort,placed on IL with right knee injury,2025-01-25,2025-01-28,3,placed on IL with meniscus injury in right knee
